PLOT,Region,Site ,Treatment,Quadrat,NDRE,NDVI,RE,NIR,R,LATITUDE,LONGITUDE,ELEVATION,HDOP,FIXTYPE,DATE,TIME,N,MAXNDRE,MAXNDVI,MINNDRE,MINNDVI,STDNDRE,STDNDVI,CVNDRE,CVNDVI
123,T,PL,PR,Q8,0.2672,0.6964,20.166,34.875,6.241,68.5618716,-149.48809,905.8,0.8, GPS         ,3/7/2019,23:51:20,19,0.2811,0.7056,0.2526,0.6834,0.0081,0.0055,0.0305,0.008
124,T,PL,PR,Q7,0.1858,0.4418,21.318,31.047,12.02,68.5618933,-149.4880733,906.9,0.8, GPS         ,3/7/2019,23:51:29,14,0.2007,0.4574,0.1641,0.4294,0.0096,0.0086,0.0517,0.0194
125,T,PL,PR,Q7,0.187,0.4714,21.299,31.103,11.172,68.5618866,-149.4880983,905.6,0.8, GPS         ,3/7/2019,23:51:40,14,0.2054,0.4844,0.1704,0.46,0.0107,0.0075,0.0573,0.016
126,T,PL,PR,Q7,0.1725,0.4854,21.521,30.494,10.564,68.561895,-149.4880966,904.5,0.8, GPS         ,3/7/2019,23:51:51,20,0.1931,0.5022,0.1528,0.4722,0.0099,0.0078,0.0574,0.016
127,T,PL,PR,Q7,0.1789,0.4948,21.421,30.761,10.395,68.5618983,-149.4880883,903.2,0.8, GPS         ,3/7/2019,23:52:00,15,0.1956,0.5084,0.1604,0.4798,0.0103,0.0092,0.0574,0.0186
128,T,PL,PR,Q7,0.1912,0.5389,21.237,31.282,9.37,68.5619,-149.4880883,903.1,0.8, GPS         ,3/7/2019,23:52:09,21,0.2183,0.5566,0.1746,0.5272,0.0124,0.0075,0.0646,0.014
129,T,PL,PR,Q7,0.221,0.597,20.801,32.602,8.227,68.5619016,-149.488105,902.7,0.8, GPS         ,3/7/2019,23:52:18,11,0.23,0.6069,0.2049,0.59,0.0072,0.0059,0.0326,0.0099
130,T,PL,PR,Q7,0.247,0.678,20.438,33.853,6.494,68.5618966,-149.4881,902.3,0.8, GPS         ,3/7/2019,23:52:28,15,0.2684,0.6852,0.2314,0.6705,0.0111,0.0052,0.0448,0.0077
131,T,PL,PR,Q7,0.2501,0.6638,20.396,34.01,6.871,68.561895,-149.4880916,902.1,0.8, GPS         ,3/7/2019,23:55:37,27,0.271,0.6801,0.2174,0.6483,0.0124,0.0076,0.0496,0.0114
132,T,PL,PR,Q6,0.2184,0.5212,20.839,32.49,10.223,68.5619383,-149.4880583,902.1,0.8, GPS         ,3/7/2019,23:55:48,13,0.2368,0.5347,0.1932,0.4995,0.0126,0.0093,0.0577,0.0178
133,T,PL,PR,Q6,0.242,0.6242,20.506,33.609,7.776,68.5619416,-149.4881033,901.8,0.8, GPS         ,3/7/2019,23:55:58,16,0.2647,0.6374,0.2196,0.6132,0.0109,0.0063,0.0449,0.0101
134,T,PL,PR,Q6,0.2502,0.643,20.394,34.012,7.39,68.5619366,-149.4880983,900.8,0.8, GPS         ,3/7/2019,23:56:11,17,0.2717,0.6517,0.2304,0.6354,0.0098,0.0048,0.039,0.0074
135,T,PL,PR,Q6,0.2349,0.5934,20.604,33.26,8.485,68.5619416,-149.4881033,900.3,0.9, GPS         ,3/7/2019,23:56:19,14,0.249,0.6146,0.219,0.5779,0.0084,0.0087,0.0356,0.0147
136,T,PL,PR,Q6,0.2275,0.5639,20.709,32.909,9.175,68.5619333,-149.488095,900.1,0.8, GPS         ,3/7/2019,23:56:29,11,0.2452,0.5788,0.2083,0.5511,0.0105,0.007,0.0462,0.0124
137,T,PL,PR,Q6,0.2344,0.6136,20.612,33.241,7.957,68.561925,-149.48809,901.2,0.8, GPS         ,3/7/2019,23:56:39,16,0.2541,0.6229,0.213,0.599,0.0115,0.0068,0.049,0.0111
138,T,PL,PR,Q6,0.2225,0.566,20.779,32.68,9.055,68.5619166,-149.48808,901.9,0.8, GPS         ,3/7/2019,23:56:54,9,0.2417,0.5819,0.2083,0.5552,0.011,0.0074,0.0495,0.013
139,T,PL,PR,Q6,0.2292,0.6012,20.684,32.984,8.215,68.5619083,-149.488075,902,0.8, GPS         ,3/7/2019,23:59:26,12,0.2361,0.6106,0.2186,0.5943,0.0057,0.0043,0.0248,0.0072
140,T,PL,PR,Q5,0.234,0.5934,20.618,33.216,8.476,68.5619033,-149.48808,897.8,0.9, GPS         ,3/7/2019,23:59:34,12,0.2483,0.6058,0.2086,0.5758,0.0097,0.008,0.0416,0.0134
141,T,PL,PR,Q5,0.2552,0.6871,20.326,34.265,6.355,68.5618916,-149.4880716,897.2,1, GPS         ,3/7/2019,23:59:43,14,0.2773,0.6994,0.2355,0.6745,0.0107,0.0063,0.042,0.0092
142,T,PL,PR,Q5,0.259,0.7048,20.276,34.45,5.964,68.56189,-149.4880583,897.2,0.9, GPS         ,3/7/2019,23:59:50,10,0.2717,0.7125,0.2489,0.6967,0.0075,0.0044,0.0289,0.0062
143,T,PL,PR,Q5,0.2428,0.6755,20.496,33.651,6.516,68.5618866,-149.4880516,897.4,0.9, GPS         ,3/7/2019,23:59:59,15,0.2631,0.6875,0.2178,0.6626,0.013,0.0079,0.0537,0.0118
144,T,PL,PR,Q5,0.2362,0.6512,20.586,33.326,7.039,68.5618816,-149.4880566,896.5,0.9, GPS         ,4/7/2019,0:00:08,16,0.2556,0.6669,0.2117,0.6353,0.0102,0.0093,0.0432,0.0143
145,T,PL,PR,Q5,0.2227,0.6213,20.78,32.703,7.635,68.5618833,-149.4880716,896.6,0.9, GPS         ,4/7/2019,0:00:28,13,0.2518,0.6442,0.1877,0.5963,0.0193,0.0138,0.0868,0.0222
146,T,PL,PR,Q5,0.2108,0.5843,20.949,32.153,8.436,68.561885,-149.4880766,897.2,0.9, GPS         ,4/7/2019,0:00:41,17,0.233,0.6045,0.1744,0.5653,0.0162,0.0099,0.0766,0.017
147,T,PL,PR,Q5,0.204,0.5442,21.053,31.867,9.398,68.56189,-149.48808,897.6,0.9, GPS         ,4/7/2019,1:26:40,14,0.2335,0.5686,0.1471,0.51,0.0244,0.0173,0.1194,0.0319
148,T,PL,PR,Q4,0.2502,0.6342,20.395,34.012,7.611,68.5618766,-149.4881133,897.9,1.6, GPS         ,4/7/2019,1:26:51,25,0.2788,0.6498,0.2259,0.609,0.0116,0.0078,0.0462,0.0123
149,T,PL,PR,Q4,0.2553,0.6118,20.324,34.266,8.251,68.5618766,-149.4881133,898.2,1.6, GPS         ,4/7/2019,1:27:00,26,0.2746,0.6268,0.2398,0.5953,0.0087,0.0075,0.0339,0.0123
150,T,PL,PR,Q4,0.2588,0.6041,20.279,34.445,8.5,68.561875,-149.488115,898.3,1.6, GPS         ,4/7/2019,1:27:13,17,0.2767,0.6156,0.2359,0.5929,0.0115,0.0075,0.0444,0.0125
151,T,PL,PR,Q4,0.256,0.6195,20.318,34.31,8.057,68.561895,-149.4880883,898.6,1.6, GPS         ,4/7/2019,1:27:22,20,0.2869,0.6381,0.2202,0.6067,0.0152,0.008,0.0593,0.0129
152,T,PL,PR,Q4,0.2618,0.6273,20.239,34.607,7.923,68.5618933,-149.4880883,898.6,1.6, GPS         ,4/7/2019,1:27:30,18,0.2796,0.6435,0.2357,0.6106,0.0142,0.0087,0.0544,0.0139
153,T,PL,PR,Q4,0.2763,0.6722,20.048,35.37,6.93,68.561895,-149.488085,898.7,1.6, GPS         ,4/7/2019,1:27:39,19,0.2994,0.6952,0.2511,0.6513,0.0151,0.0117,0.0548,0.0175
154,T,PL,PR,Q4,0.2768,0.6933,20.041,35.393,6.409,68.5619,-149.4880716,898.8,1.6, GPS         ,4/7/2019,1:27:49,18,0.3016,0.7051,0.249,0.6724,0.0129,0.0088,0.0464,0.0128
155,T,PL,PR,Q4,0.2495,0.6312,20.405,33.984,7.679,68.5618966,-149.4880666,899,1.6, GPS         ,4/7/2019,1:30:06,17,0.2773,0.6832,0.2324,0.6068,0.0148,0.0233,0.0594,0.0369
156,T,PL,PR,Q3,0.2208,0.5344,20.804,32.596,9.889,68.561895,-149.4880883,896.7,1.6, GPS         ,4/7/2019,1:30:16,18,0.2421,0.5431,0.2017,0.5182,0.0103,0.0069,0.0465,0.0128
157,T,PL,PR,Q3,0.2309,0.575,20.662,33.079,8.922,68.5618933,-149.4880816,896.2,1.6, GPS         ,4/7/2019,1:30:35,133,0.2653,0.5974,0.1904,0.544,0.0156,0.0115,0.0677,0.02
158,T,PL,PR,Q3,0.2282,0.5563,20.7,32.951,9.391,68.5618983,-149.4880733,895.6,1.6, GPS         ,4/7/2019,1:30:44,25,0.2609,0.581,0.2042,0.5378,0.0151,0.0109,0.0661,0.0197
159,T,PL,PR,Q3,0.2285,0.6054,20.695,32.965,8.099,68.56189,-149.4880916,895.3,1.6, GPS         ,4/7/2019,1:30:54,22,0.2537,0.625,0.1928,0.5798,0.0143,0.0112,0.0625,0.0185
160,T,PL,PR,Q3,0.2175,0.633,20.852,32.447,7.291,68.56188,-149.4880916,895.7,1.6, GPS         ,4/7/2019,1:31:02,21,0.2392,0.6508,0.195,0.6183,0.0123,0.0078,0.0566,0.0123
161,T,PL,PR,Q3,0.2205,0.6437,20.809,32.588,7.06,68.5618783,-149.48809,896,1.6, GPS         ,4/7/2019,1:31:11,17,0.2435,0.6555,0.1951,0.6293,0.0131,0.007,0.0594,0.0109
162,T,PL,PR,Q3,0.2071,0.5918,21.002,31.982,8.2,68.561885,-149.4880883,895.7,1.6, GPS         ,4/7/2019,1:31:21,17,0.2318,0.608,0.1837,0.5713,0.0142,0.0089,0.0687,0.0151
163,T,PL,PR,Q3,0.2135,0.5879,20.911,32.278,8.371,68.56188,-149.488105,895.4,1.6, GPS         ,4/7/2019,1:33:50,13,0.2505,0.6107,0.1908,0.5721,0.0181,0.0105,0.0848,0.0179
164,T,PL,PR,Q2,0.2527,0.6851,20.361,34.131,6.378,68.5619333,-149.4880483,901.4,1.6, GPS         ,4/7/2019,1:34:14,16,0.2629,0.6956,0.2354,0.6662,0.0085,0.0084,0.0337,0.0123
165,T,PL,PR,Q2,0.2387,0.5703,20.552,33.444,9.151,68.5619016,-149.4881066,900.9,1.6, GPS         ,4/7/2019,1:34:22,18,0.2568,0.5819,0.2165,0.5605,0.0094,0.0065,0.0395,0.0114
166,T,PL,PR,Q2,0.2398,0.5867,20.537,33.499,8.723,68.5618933,-149.48813,900.7,1.6, GPS         ,4/7/2019,1:34:31,15,0.2553,0.5957,0.2129,0.5706,0.0102,0.0066,0.0425,0.0113
167,T,PL,PR,Q2,0.2186,0.563,20.835,32.499,9.084,68.5619066,-149.488115,900.7,1.6, GPS         ,4/7/2019,1:34:42,14,0.2398,0.5831,0.2005,0.5484,0.0111,0.0105,0.0507,0.0186
168,T,PL,PR,Q2,0.2175,0.5331,20.851,32.449,9.879,68.5619233,-149.4880983,900.2,1.6, GPS         ,4/7/2019,1:34:50,15,0.2351,0.5452,0.1909,0.5189,0.0123,0.0092,0.0565,0.0173
169,T,PL,PR,Q2,0.2023,0.5439,21.071,31.766,9.384,68.5619333,-149.4880966,899.7,1.6, GPS         ,4/7/2019,1:35:00,11,0.2277,0.5581,0.1907,0.5279,0.0112,0.0086,0.0553,0.0159
170,T,PL,PR,Q2,0.2103,0.5628,20.955,32.118,8.984,68.5619383,-149.4881033,899.2,1.6, GPS         ,4/7/2019,1:35:10,19,0.2308,0.577,0.1923,0.5539,0.0106,0.0071,0.0502,0.0127
171,T,PL,PR,Q2,0.1945,0.5629,21.185,31.418,8.787,68.5619266,-149.48812,898.9,1.6, GPS         ,4/7/2019,1:38:22,10,0.2019,0.5703,0.184,0.5559,0.0055,0.0043,0.0282,0.0076
172,T,PL,PR,Q1,0.2304,0.6192,20.668,33.042,7.771,68.5619183,-149.48811,897.9,1.6, GPS         ,4/7/2019,1:38:31,17,0.2433,0.6293,0.2175,0.6053,0.007,0.0067,0.0305,0.0107
173,T,PL,PR,Q1,0.2274,0.5688,20.709,32.905,9.043,68.5619083,-149.4880983,898.2,2, GPS         ,4/7/2019,1:38:40,13,0.2422,0.5803,0.213,0.5561,0.009,0.0066,0.0396,0.0117
174,T,PL,PR,Q1,0.2232,0.5876,20.769,32.707,8.496,68.5619066,-149.4880916,899.9,2, GPS         ,4/7/2019,1:38:48,21,0.2452,0.6017,0.2067,0.572,0.0086,0.0079,0.0386,0.0135
175,T,PL,PR,Q1,0.2124,0.5841,20.922,32.211,8.458,68.56191,-149.4880883,901,2, GPS         ,4/7/2019,1:38:56,15,0.2226,0.5994,0.2026,0.5739,0.0054,0.0079,0.0256,0.0136
176,T,PL,PR,Q1,0.1996,0.5079,21.111,31.644,10.326,68.5619316,-149.4880733,902,1.6, GPS         ,4/7/2019,1:39:05,14,0.2199,0.5253,0.1822,0.4974,0.0104,0.008,0.0522,0.0157
177,T,PL,PR,Q1,0.2211,0.5663,20.798,32.61,9.03,68.5619266,-149.48808,902.7,1.6, GPS         ,4/7/2019,1:39:12,17,0.2343,0.5846,0.2062,0.5398,0.0074,0.0116,0.0336,0.0205
178,T,PL,PR,Q1,0.2404,0.6654,20.527,33.527,6.736,68.5619233,-149.488105,902.7,1.6, GPS         ,4/7/2019,1:39:23,17,0.2576,0.6769,0.225,0.6542,0.0083,0.0049,0.0344,0.0073
179,T,PL,PR,Q1,0.1974,0.5464,21.143,31.544,9.254,68.5619383,-149.48809,903.5,1.6, GPS         ,4/7/2019,1:45:14,18,0.2193,0.5897,0.1885,0.525,0.0072,0.0162,0.0367,0.0297
180,T,PL,PU,CH1,0.1956,0.4994,21.169,31.467,10.506,68.5619666,-149.4878733,904.4,1.6, GPS         ,4/7/2019,1:45:24,17,0.2103,0.5151,0.1827,0.4847,0.0067,0.0077,0.0343,0.0154
181,T,PL,PU,CH1,0.1943,0.5256,21.19,31.41,9.765,68.5619766,-149.4878383,904.9,1.6, GPS         ,4/7/2019,1:45:33,18,0.2087,0.534,0.1785,0.5186,0.0089,0.005,0.0456,0.0095
182,T,PL,PU,CH1,0.1962,0.4689,21.161,31.493,11.386,68.56197,-149.487895,903.7,1.6, GPS         ,4/7/2019,1:45:47,20,0.2112,0.4791,0.178,0.4561,0.008,0.0059,0.0408,0.0125
183,T,PL,PU,CH1,0.1871,0.4306,21.297,31.104,12.38,68.5619566,-149.4879366,903.2,1.6, GPS         ,4/7/2019,1:45:59,16,0.2054,0.4627,0.1741,0.415,0.0082,0.0131,0.0438,0.0303
184,T,PL,PU,CH1,0.1985,0.54,21.127,31.594,9.438,68.5619633,-149.4879416,902.1,1.6, GPS         ,4/7/2019,1:46:14,18,0.2131,0.5524,0.1831,0.531,0.0088,0.0058,0.0442,0.0108
185,T,PL,PU,CH1,0.1913,0.5308,21.233,31.282,9.586,68.5619733,-149.4879533,903,1.6, GPS         ,4/7/2019,1:46:28,18,0.204,0.5407,0.1789,0.519,0.0076,0.0059,0.0397,0.0111
186,T,PL,PU,CH1,0.1894,0.4694,21.264,31.201,11.265,68.561975,-149.4879516,903.8,1.6, GPS         ,4/7/2019,1:46:43,23,0.2115,0.4869,0.1693,0.4525,0.0104,0.0083,0.055,0.0177
187,T,PL,PU,CH1,0.1733,0.496,21.507,30.525,10.285,68.5619866,-149.4879633,903.6,1.6, GPS         ,4/7/2019,1:49:33,14,0.1827,0.5071,0.1638,0.475,0.0057,0.0094,0.0327,0.0189
188,T,PL,PU,CH2,0.2464,0.6486,20.446,33.817,7.206,68.56195,-149.4878966,902.4,1.6, GPS         ,4/7/2019,1:49:45,11,0.2574,0.6576,0.2274,0.6425,0.0084,0.0042,0.034,0.0065
189,T,PL,PU,CH2,0.248,0.6639,20.424,33.895,6.845,68.561945,-149.487915,902,1.6, GPS         ,4/7/2019,1:49:53,18,0.2652,0.6708,0.2362,0.6571,0.0074,0.0047,0.03,0.0071
190,T,PL,PU,CH2,0.247,0.6918,20.438,33.845,6.165,68.5619433,-149.4879583,902.3,1.6, GPS         ,4/7/2019,1:50:11,16,0.2596,0.6979,0.2347,0.6842,0.0063,0.0031,0.0254,0.0045
191,T,PL,PU,CH2,0.2412,0.6591,20.517,33.565,6.896,68.5619483,-149.4879516,902.6,1.6, GPS         ,4/7/2019,1:50:37,17,0.2557,0.6818,0.2217,0.6231,0.0088,0.0125,0.0363,0.019
192,T,PL,PU,CH2,0.2404,0.6488,20.527,33.527,7.141,68.561935,-149.48794,901,1.5, GPS         ,4/7/2019,1:50:56,20,0.2544,0.6594,0.2219,0.6341,0.0082,0.0071,0.0341,0.0109
193,T,PL,PU,CH2,0.2514,0.6843,20.378,34.066,6.384,68.5619033,-149.4880166,900.7,1.5, GPS         ,4/7/2019,1:51:10,20,0.265,0.694,0.2322,0.6755,0.0074,0.0041,0.0294,0.006
194,T,PL,PU,CH2,0.2489,0.6668,20.411,33.941,6.783,68.56193,-149.4880016,900.9,1.5, GPS         ,4/7/2019,1:51:24,12,0.2569,0.6742,0.2377,0.6586,0.0058,0.0042,0.0233,0.0063
195,T,PL,PU,CH2,0.2485,0.6588,20.417,33.921,6.977,68.56191,-149.4879966,900,1.5, GPS         ,4/7/2019,1:54:00,18,0.262,0.669,0.2339,0.649,0.0071,0.0049,0.0285,0.0074
196,T,PL,PU,CH3,0.2103,0.565,20.957,32.131,8.926,68.5619533,-149.487805,896,1.9, GPS         ,4/7/2019,1:54:12,11,0.2316,0.5792,0.1829,0.5493,0.0169,0.0096,0.0805,0.017
197,T,PL,PU,CH3,0.206,0.5539,21.017,31.924,9.165,68.5619533,-149.4878066,896.3,1.9, GPS         ,4/7/2019,1:54:23,14,0.2251,0.573,0.1915,0.5333,0.0091,0.0122,0.0444,0.022
198,T,PL,PU,CH3,0.1962,0.5046,21.162,31.493,10.367,68.5619516,-149.4877916,896.1,1.9, GPS         ,4/7/2019,1:54:36,16,0.2143,0.5189,0.1688,0.495,0.0095,0.0074,0.0486,0.0147
199,T,PL,PU,CH3,0.2073,0.5518,20.999,31.982,9.239,68.5619533,-149.487815,896.8,1.9, GPS         ,4/7/2019,1:54:49,17,0.2257,0.5641,0.1872,0.5296,0.0099,0.0103,0.0479,0.0186
200,T,PL,PU,CH3,0.2123,0.5903,20.926,32.207,8.296,68.561945,-149.48783,897.1,1.9, GPS         ,4/7/2019,1:55:08,13,0.2247,0.5996,0.1953,0.575,0.0092,0.0067,0.0434,0.0114
201,T,PL,PU,CH3,0.22,0.5854,20.816,32.57,8.521,68.5619633,-149.4878166,897.4,1.9, GPS         ,4/7/2019,1:55:18,15,0.242,0.6402,0.1945,0.52,0.0147,0.0327,0.0667,0.0558
202,T,PL,PU,CH3,0.1951,0.5127,21.179,31.455,10.129,68.5619666,-149.48782,897.5,1.9, GPS         ,4/7/2019,1:55:32,14,0.2195,0.5295,0.1655,0.4998,0.015,0.009,0.0766,0.0176
203,T,PL,PU,CH3,0.2168,0.5784,20.861,32.415,8.658,68.5619666,-149.487805,897.2,1.9, GPS         ,4/7/2019,1:55:42,12,0.2404,0.5891,0.1929,0.5663,0.0106,0.0064,0.0489,0.0111
205,T,PL,PU,Q1,0.2298,0.663,20.675,33.017,6.69,68.5619283,-149.4876866,898.8,1.8, GPS         ,4/7/2019,2:26:18,16,0.2432,0.6709,0.2184,0.6511,0.0069,0.0053,0.03,0.008
206,T,PL,PU,Q1,0.2434,0.6847,20.487,33.67,6.3,68.5619366,-149.48769,898.8,1.8, GPS         ,4/7/2019,2:26:28,21,0.2603,0.6901,0.2255,0.6738,0.0083,0.0044,0.0342,0.0065
207,T,PL,PU,Q1,0.2523,0.6918,20.366,34.111,6.214,68.56196,-149.487695,898.9,1.8, GPS         ,4/7/2019,2:26:35,11,0.267,0.6977,0.2406,0.6869,0.0075,0.0027,0.0297,0.0039
208,T,PL,PU,Q1,0.2375,0.6605,20.569,33.382,6.824,68.5619666,-149.48768,898.9,1.8, GPS         ,4/7/2019,2:26:43,10,0.2497,0.6677,0.2295,0.6567,0.0071,0.0031,0.0299,0.0047
209,T,PL,PU,Q1,0.2227,0.6054,20.775,32.683,8.035,68.561965,-149.4876733,898.9,1.8, GPS         ,4/7/2019,2:26:52,16,0.2325,0.6191,0.2135,0.5836,0.0048,0.0108,0.0217,0.0179
210,T,PL,PU,Q1,0.2305,0.6323,20.666,33.047,7.444,68.5619683,-149.4876566,898.9,1.8, GPS         ,4/7/2019,2:27:01,18,0.2433,0.6427,0.218,0.624,0.0066,0.0044,0.0285,0.007
211,T,PL,PU,Q1,0.2279,0.6487,20.701,32.926,7.015,68.5619633,-149.487635,898.9,1.8, GPS         ,4/7/2019,2:27:08,10,0.2369,0.651,0.2208,0.6404,0.0049,0.0029,0.0215,0.0044
212,T,PL,PU,Q1,0.2271,0.6563,20.714,32.89,6.825,68.5619583,-149.4876533,898.8,1.8, GPS         ,4/7/2019,2:27:48,12,0.2397,0.6654,0.2053,0.6463,0.0089,0.005,0.039,0.0076
213,T,PL,PU,Q2,0.2227,0.5972,20.777,32.689,8.242,68.56194,-149.4876316,898.8,1.8, GPS         ,4/7/2019,2:27:57,16,0.2439,0.6095,0.2007,0.5728,0.0121,0.0087,0.0543,0.0146
214,T,PL,PU,Q2,0.1936,0.5879,21.202,31.39,8.144,68.5619316,-149.487605,898.8,1.8, GPS         ,4/7/2019,2:28:06,15,0.2304,0.609,0.1736,0.5754,0.0157,0.0097,0.0811,0.0165
215,T,PL,PU,Q2,0.2032,0.5994,21.059,31.808,7.966,68.5619416,-149.487575,898.8,1.8, GPS         ,4/7/2019,2:28:15,20,0.2373,0.6117,0.1821,0.5855,0.0141,0.0081,0.0696,0.0135
216,T,PL,PU,Q2,0.2006,0.5753,21.098,31.693,8.542,68.56195,-149.4875866,898.8,1.8, GPS         ,4/7/2019,2:28:22,15,0.2322,0.5892,0.1695,0.5462,0.0147,0.0108,0.0734,0.0187
217,T,PL,PU,Q2,0.1967,0.5528,21.155,31.525,9.078,68.5619583,-149.48759,898.8,1.8, GPS         ,4/7/2019,2:28:30,9,0.2254,0.5718,0.18,0.5417,0.0139,0.0098,0.0706,0.0177
218,T,PL,PU,Q2,0.2147,0.5817,20.894,32.339,8.545,68.56196,-149.4875966,898.8,1.8, GPS         ,4/7/2019,2:28:39,11,0.2432,0.5986,0.1738,0.5497,0.02,0.0146,0.0934,0.0252
219,T,PL,PU,Q2,0.2308,0.6494,20.662,33.065,7.029,68.5619533,-149.4875733,898.8,1.8, GPS         ,4/7/2019,2:28:49,13,0.2464,0.6594,0.2148,0.6352,0.0088,0.0073,0.038,0.0112
220,T,PL,PU,Q2,0.2377,0.6173,20.566,33.397,7.9,68.5619466,-149.4875633,898.8,1.8, GPS         ,4/7/2019,2:29:54,12,0.2582,0.6302,0.2206,0.6054,0.0108,0.0073,0.0453,0.0118
221,T,PL,PU,Q3,0.2665,0.69,20.175,34.841,6.39,68.5618866,-149.4876633,898.8,1.8, GPS         ,4/7/2019,2:30:00,11,0.2851,0.6992,0.2565,0.6784,0.0075,0.0053,0.028,0.0076
222,T,PL,PU,Q3,0.264,0.6234,20.209,34.707,8.05,68.5619033,-149.4876483,898.8,1.8, GPS         ,4/7/2019,2:30:07,13,0.2767,0.6312,0.2475,0.6088,0.0074,0.0059,0.028,0.0094
223,T,PL,PU,Q3,0.2694,0.6668,20.137,34.987,6.993,68.56191,-149.4876266,898.8,1.8, GPS         ,4/7/2019,2:30:16,14,0.2823,0.6796,0.2592,0.6586,0.0065,0.0051,0.0242,0.0077
224,T,PL,PU,Q3,0.2749,0.6734,20.064,35.284,6.886,68.5619233,-149.4876933,898.8,1.8, GPS         ,4/7/2019,2:30:23,17,0.2897,0.6799,0.2564,0.6629,0.0082,0.0041,0.03,0.0061
225,T,PL,PU,Q3,0.2687,0.6678,20.146,34.95,6.961,68.5619333,-149.487665,898.8,1.8, GPS         ,4/7/2019,2:30:30,7,0.2786,0.6729,0.2601,0.6638,0.0058,0.0026,0.0217,0.0039
226,T,PL,PU,Q3,0.2672,0.6739,20.166,34.878,6.794,68.5619316,-149.4876433,898.8,1.8, GPS         ,4/7/2019,2:30:38,11,0.2851,0.6834,0.2505,0.6653,0.0096,0.0063,0.036,0.0093
227,T,PL,PU,Q3,0.251,0.657,20.383,34.046,7.048,68.56193,-149.4876283,898.8,1.8, GPS         ,4/7/2019,2:30:46,9,0.2646,0.6674,0.2428,0.6489,0.0063,0.0052,0.0251,0.0078
228,T,PL,PU,Q3,0.2546,0.7159,20.335,34.231,5.666,68.56193,-149.48762,898.8,1.8, GPS         ,4/7/2019,2:31:00,10,0.2755,0.7282,0.2395,0.7032,0.0104,0.0059,0.041,0.0083
229,T,PL,PU,Q4,0.2736,0.6602,20.082,35.217,7.207,68.5619083,-149.4875983,898.8,1.8, GPS         ,4/7/2019,2:32:00,17,0.2924,0.6712,0.2554,0.6492,0.0094,0.0054,0.0344,0.0082
230,T,PL,PU,Q4,0.2811,0.6817,19.984,35.613,6.741,68.5619133,-149.4875483,898.8,1.8, GPS         ,4/7/2019,2:32:07,9,0.2908,0.6868,0.2755,0.674,0.0064,0.0038,0.0227,0.0056
231,T,PL,PU,Q4,0.262,0.6349,20.235,34.608,7.727,68.5619083,-149.48756,898.8,1.8, GPS         ,4/7/2019,2:32:16,13,0.2801,0.6479,0.2481,0.6257,0.0084,0.0065,0.0322,0.0103
232,T,PL,PU,Q4,0.248,0.6215,20.425,33.9,7.911,68.5619083,-149.4875666,898.8,1.8, GPS         ,4/7/2019,2:32:23,10,0.2632,0.6428,0.2283,0.6045,0.0103,0.0102,0.0415,0.0165
233,T,PL,PU,Q4,0.2611,0.637,20.248,34.565,7.662,68.5619216,-149.48756,898.8,1.8, GPS         ,4/7/2019,2:32:31,13,0.2766,0.6551,0.2357,0.6249,0.0125,0.0083,0.048,0.013
234,T,PL,PU,Q4,0.2542,0.6369,20.339,34.208,7.588,68.5619216,-149.48756,898.8,1.8, GPS         ,4/7/2019,2:32:40,17,0.2649,0.6486,0.24,0.627,0.007,0.0054,0.0277,0.0085
235,T,PL,PU,Q4,0.2395,0.6369,20.541,33.487,7.426,68.5619266,-149.4875416,898.8,1.8, GPS         ,4/7/2019,2:32:49,13,0.2573,0.659,0.2188,0.6222,0.011,0.0093,0.0461,0.0147
236,T,PL,PU,Q4,0.2434,0.6208,20.488,33.681,7.878,68.56193,-149.4875466,898.8,1.8, GPS         ,4/7/2019,2:33:40,16,0.2619,0.6431,0.2143,0.6053,0.0139,0.0094,0.0572,0.0151
237,T,PL,PU,Q5,0.2435,0.6915,20.485,33.677,6.141,68.5619216,-149.487545,898.8,1.8, GPS         ,4/7/2019,2:34:06,16,0.2623,0.7013,0.2341,0.6845,0.0074,0.005,0.0305,0.0073
238,T,PL,PU,Q5,0.2584,0.6896,20.283,34.417,6.323,68.5619266,-149.48754,898.8,1.8, GPS         ,4/7/2019,2:34:12,9,0.2651,0.6945,0.252,0.6859,0.0041,0.0027,0.016,0.004
239,T,PL,PU,Q5,0.2558,0.6249,20.317,34.29,7.915,68.5619266,-149.48751,898.8,1.8, GPS         ,4/7/2019,2:34:20,17,0.2667,0.6341,0.2433,0.6095,0.0067,0.0071,0.0262,0.0114
240,T,PL,PU,Q5,0.2721,0.6358,20.101,35.131,7.821,68.5619216,-149.48752,898.8,1.8, GPS         ,4/7/2019,2:34:33,10,0.2794,0.6407,0.265,0.6305,0.0052,0.0031,0.019,0.0049
241,T,PL,PU,Q5,0.2757,0.694,20.055,35.324,6.379,68.5619166,-149.4875583,898.8,1.8, GPS         ,4/7/2019,2:34:42,12,0.2929,0.7035,0.2593,0.6882,0.0087,0.005,0.0317,0.0072
242,T,PL,PU,Q5,0.2677,0.6819,20.16,34.901,6.6,68.5619183,-149.487565,898.8,1.8, GPS         ,4/7/2019,2:34:51,8,0.283,0.694,0.2555,0.6737,0.0087,0.0059,0.0327,0.0087
